,PR,NPC,POLY,EBR
572,68,7,5.738074674461865,0.012499999999999956
573,53,12,4.840644899065167,0.0
574,36,6,5.992219663666178,0.0
575,31,8,5.741244879080217,0.0
576,45,7,4.725235540434441,0.0
577,62,9,4.954575189051993,0.0
578,43,8,5.709893048128342,0.0
579,50,9,5.494029955370704,0.008849557522123908
580,46,8,4.3734713566790955,0.0
581,45,8,4.846147067894435,0.0
582,45,7,4.824394612655437,0.0
583,57,7,3.4787020920227265,0.19999999999999996
584,50,7,5.171711083906206,0.125
585,61,7,6.509487265042821,0.0
586,52,9,8.062342836615395,0.0
587,44,7,5.8954813899189675,0.012820512820512775
588,59,8,3.753959933667537,0.007194244604316502
589,41,7,3.2322074377345618,0.0
590,36,7,3.5368820169391375,0.0
591,45,8,5.747961088729488,0.0
592,47,8,5.391172066268926,0.0
593,68,10,6.611190932311622,0.010000000000000009
594,36,8,6.059358306513156,0.0
595,31,7,7.249502172338885,0.0
596,35,10,7.611780804065941,0.0
597,29,7,7.86122618061309,0.0
598,41,6,7.693564782234733,0.0
599,35,10,5.263279605149622,0.0
600,44,11,6.180194276028424,0.0
601,45,8,6.223924759589982,0.010000000000000009
602,48,8,7.430093702331662,0.0
603,36,9,5.320132233612716,0.0
604,41,7,4.527891891891892,0.010000000000000009
605,53,11,4.993491664763645,0.021276595744680882
606,60,10,3.399279535700785,0.0
607,42,9,5.68406424543681,0.0
608,44,8,6.671953809397398,0.012499999999999956
609,52,7,6.530364643846635,0.008403361344537785
610,38,7,3.2793657257756625,0.01904761904761909
611,53,11,5.15614493836384,0.011627906976744207
612,42,10,5.303431009556049,0.0
613,49,10,5.396273155760166,0.0
614,36,7,4.200141394330544,0.033333333333333326
615,36,7,5.1404658901830285,0.0
616,52,7,5.361412324781804,0.0
617,43,7,3.5694571452323554,0.020000000000000018
618,47,7,3.312089815771063,0.012499999999999956
619,53,9,4.529166805476897,0.0
620,36,7,10.804986730447888,0.0
621,38,7,6.28,0.0
622,38,7,4.972015053027711,0.012820512820512775
623,47,7,7.286953772657019,0.013157894736842146
624,55,7,7.3144139478681165,0.0
625,38,7,6.055252573454223,0.0
626,69,12,8.074051210478286,0.010101010101010055
627,16,8,2.6901570028516177,0.0
628,48,7,4.8671710254570755,0.0
629,48,8,4.281036414565826,0.010526315789473717
630,58,9,6.2186100347239694,0.018867924528301883
631,37,9,5.371874590915041,0.0
632,68,9,8.858686257562661,0.0
633,39,7,6.920478697315502,0.0
634,41,12,4.099855976956313,0.0
635,31,9,5.625556004852406,0.012658227848101222
636,39,9,4.935424354243542,0.012499999999999956
637,44,9,6.542282847493196,0.0
638,26,7,5.554815600955161,0.0
639,26,7,8.07625099285147,0.0
640,48,7,5.184266292830828,0.0
641,48,8,5.01168887392371,0.0
642,48,7,4.9422193705254625,0.012658227848101222
643,61,9,5.546825589880807,0.0
644,67,7,5.501755441869796,0.012499999999999956
645,31,7,4.305044821042989,0.0
646,31,7,4.519097610006701,0.01666666666666672
647,36,7,4.636953492422923,0.0
648,32,7,4.4892434772512395,0.07777777777777772
649,49,7,4.623348161716604,0.0
650,29,7,5.301883685701113,0.0
651,45,7,7.083544303797468,0.0
652,41,8,7.367204137511409,0.0
653,38,7,3.129403283415801,0.0
654,45,6,4.341603943249184,0.012499999999999956
655,25,8,5.211846101923726,0.0
656,37,9,5.500969469913569,0.0
657,37,8,5.968137801776072,0.0
658,39,7,7.78130102540657,0.0
659,49,7,6.916073262014375,0.012499999999999956
660,46,8,3.568693470654255,0.012499999999999956
661,52,10,5.223421954004241,0.0
662,48,8,4.368334132438336,0.0
663,51,8,5.10820519707245,0.012499999999999956
664,38,7,4.473754834635725,0.0
665,39,7,6.013573470930424,0.0
666,29,7,4.70861746222757,0.012499999999999956
667,49,8,6.773022285937704,0.0
668,58,9,9.970871875615037,0.0
669,53,12,4.616932921848053,0.0
670,58,12,4.799853006798435,0.0
671,41,7,4.447572593053327,0.0
672,38,7,4.2854523227383865,0.0
673,47,8,4.917520334139371,0.0
674,60,7,5.1793418051482565,0.0
675,48,8,6.056788723266364,0.0
676,72,7,9.468882648729837,0.0
677,46,7,5.866110817010764,0.0
678,47,9,4.153899857577704,0.0
679,36,7,3.410707901322846,0.01666666666666672
680,48,7,5.0947632018276074,0.0
681,55,7,4.872566885878034,0.010000000000000009
682,56,7,4.753032198016347,0.0
683,47,8,4.541584548679543,0.0
684,38,10,4.608398705359592,0.020408163265306145
685,40,7,5.102178450998234,0.0
686,30,7,4.45031643504926,0.0
687,56,9,8.448384060244745,0.0
688,33,9,4.582863141320037,0.0
689,41,7,4.877699757063463,0.012499999999999956
690,50,9,5.849914077990747,0.010000000000000009
691,25,8,4.981443022710525,0.012499999999999956
692,36,8,6.196968192499917,0.012499999999999956
693,44,8,6.656272733284836,0.012499999999999956
694,43,7,8.243916349809886,0.15306122448979587
695,48,8,3.147793906856741,0.0
696,41,7,4.186592859413073,0.0
697,41,7,4.801261940850929,0.0
698,42,8,6.7132251065275925,0.0
699,58,11,3.4782924613987283,0.012499999999999956
700,48,8,3.8940647802100017,0.0
701,39,8,5.021041023378915,0.0
702,31,9,3.936282832317987,0.012499999999999956
703,58,9,7.59633627739614,0.0
704,61,10,5.125627044711014,0.0
705,54,11,5.058902319503431,0.0
706,41,10,4.488565350352347,0.012499999999999956
707,46,11,4.799092473791269,0.0
708,34,8,4.705132179072754,0.01666666666666672
709,32,7,3.553763440860215,0.0
710,51,8,6.356022670995433,0.0
711,32,7,4.238793752660358,0.0
712,43,7,4.780114722753346,0.0
713,40,8,4.851913477537438,0.0
714,33,7,5.608946029195125,0.0
715,55,10,5.422353587402893,0.0
716,55,11,7.2812451410268375,0.05555555555555558
717,37,8,8.956901157613535,0.0
718,48,8,9.425155925155925,0.0
719,49,9,9.653027713548473,0.0
720,40,8,8.20922090245738,0.0
721,29,9,6.112697178404799,0.050000000000000044
